	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Orrin	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Valeska	5	8	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Edric	13	17	Pikeman	3	4	Griffin	3	4	Griffin
Sylvia	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Lord Haart	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Sorsha	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Christian	13	17	Pikeman	1	1	Ballista	3	4	Griffin
Tyris	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Rion	13	17	Pikeman	1	1	FirstAidTent	3	4	Griffin
Adela	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Cuthbert	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Adelaide	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Ingham	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Sanya	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Loynis	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Caitlin	13	17	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Mephala	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Ufretin	4	6	Dwarf	4	6	Dwarf	4	6	Dwarf
Jenova	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Ryland	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Thorgrim	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Ivor	14	18	Centaur	3	6	WoodElf	3	5	WoodElf
Clancy	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Kyrre	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Coronius	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Uland	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Elleshar	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Gem	14	18	Centaur	1	1	FirstAidTent	3	5	WoodElf
Malcom	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Melodia	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Alagar	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Aeris	14	18	Centaur	4	6	Dwarf	3	5	WoodElf
Piquedram	5	8	StoneGargoyle	4	7	StoneGargoyle	4	7	StoneGargoyle
Thane	25	30	ApprenticeGremlin	4	7	StoneGargoyle	2	4	IronGolem
